year,summer_start_date,summer_start_doy,summer_end_date,summer_end_doy,spring_start_date,spring_start_doy,winter_start_date,winter_start_doy,spring_days,summer_days,autumn_days,winter_days,next_spring_start_date,next_spring_start_doy
1982,1982-06-22T00:00:00.000000000,173,1982-09-08T00:00:00.000000000,251,1982-03-12T00:00:00.000000000,71,1982-12-08T00:00:00.000000000,342,102,79,91,101,1983-03-19T00:00:00.000000000,78
1983,1983-06-30T00:00:00.000000000,181,1983-09-27T00:00:00.000000000,270,1983-03-19T00:00:00.000000000,78,1983-11-29T00:00:00.000000000,333,103,90,63,117,1984-03-25T00:00:00.000000000,85
1984,1984-06-06T00:00:00.000000000,158,1984-10-02T00:00:00.000000000,276,1984-03-25T00:00:00.000000000,85,1984-12-19T00:00:00.000000000,354,73,119,78,88,1985-03-17T00:00:00.000000000,76
1985,1985-07-01T00:00:00.000000000,182,1985-09-23T00:00:00.000000000,266,1985-03-17T00:00:00.000000000,76,1985-12-03T00:00:00.000000000,337,106,85,71,113,1986-03-26T00:00:00.000000000,85
1986,1986-06-23T00:00:00.000000000,174,1986-09-13T00:00:00.000000000,256,1986-03-26T00:00:00.000000000,85,1986-11-30T00:00:00.000000000,334,89,83,78,120,1987-03-30T00:00:00.000000000,89
1987,1987-06-04T00:00:00.000000000,155,1987-09-15T00:00:00.000000000,258,1987-03-30T00:00:00.000000000,89,1987-12-02T00:00:00.000000000,336,66,104,78,109,1988-03-20T00:00:00.000000000,80
1988,1988-06-17T00:00:00.000000000,169,1988-09-24T00:00:00.000000000,268,1988-03-20T00:00:00.000000000,80,1988-11-28T00:00:00.000000000,333,89,100,65,104,1989-03-12T00:00:00.000000000,71
1989,1989-06-29T00:00:00.000000000,180,1989-09-28T00:00:00.000000000,271,1989-03-12T00:00:00.000000000,71,1989-12-02T00:00:00.000000000,336,109,92,65,97,1990-03-09T00:00:00.000000000,68
1990,1990-06-18T00:00:00.000000000,169,1990-09-20T00:00:00.000000000,263,1990-03-09T00:00:00.000000000,68,1990-12-17T00:00:00.000000000,351,101,95,88,91,1991-03-18T00:00:00.000000000,77
1991,1991-06-11T00:00:00.000000000,162,1991-09-21T00:00:00.000000000,264,1991-03-18T00:00:00.000000000,77,1991-12-13T00:00:00.000000000,347,85,103,83,88,1992-03-10T00:00:00.000000000,70
1992,1992-07-08T00:00:00.000000000,190,1992-09-25T00:00:00.000000000,269,1992-03-10T00:00:00.000000000,70,1992-12-15T00:00:00.000000000,350,120,80,81,96,1993-03-21T00:00:00.000000000,80
1993,1993-06-14T00:00:00.000000000,165,1993-09-21T00:00:00.000000000,264,1993-03-21T00:00:00.000000000,80,1993-11-26T00:00:00.000000000,330,85,100,66,123,1994-03-29T00:00:00.000000000,88
1994,1994-06-26T00:00:00.000000000,177,1994-09-15T00:00:00.000000000,258,1994-03-29T00:00:00.000000000,88,1994-12-17T00:00:00.000000000,351,89,82,93,82,1995-03-09T00:00:00.000000000,68
