年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1953,Neutral,Neutral,LaNina,73,101,107,NA,NA,NA,NA,NA,NA,0.3,0.4,5.5,9,13.8,17.1,22,22.4,19.3,14.3,6.8,4.2,11.3,9.433333333333334,20.5,13.466666666666667,0.35,2.6666666666666665
1954,LaNina,LaNina,LaNina,62,96,102,NA,NA,NA,NA,NA,NA,0.8,3,4.1,11.1,14.7,15.8,19.4,24.5,21.6,13.3,8.5,3.6,11.7,9.966666666666667,19.900000000000002,14.466666666666669,2.6666666666666665,2.1
1955,LaNina,LaNina,LaNina,69,101,106,NA,NA,NA,NA,NA,NA,0.6,2.1,4.6,10.4,14.3,19.9,24.9,24.6,19.3,14.8,7.8,4.8,12.3,9.766666666666667,23.133333333333336,13.966666666666667,2.1,1.9000000000000001
1956,LaNina,LaNina,ElNino,73,106,109,156,NA,320,NA,298,NA,0.7,0.2,4.3,9.4,14.9,18.6,20.6,22,19.9,14.9,8.3,1.4,11.3,9.533333333333333,20.400000000000002,14.366666666666665,1.9000000000000001,1.0666666666666667
1957,ElNino,ElNino,ElNino,97,106,111,178,NA,310,329,301,314,1.7,0.1,2.8,10.3,14.1,16.7,21.4,24.4,18.8,14.5,9.3,4.6,11.6,9.066666666666668,20.833333333333332,14.199999999999998,1.0666666666666667,2.6666666666666665
1958,ElNino,ElNino,Neutral,59,100,105,NA,254,315,329,305,NA,1.1,2.3,4.2,9.6,14.4,19,22,22.8,19.7,13.4,7.8,5.5,11.8,9.4,21.266666666666666,13.633333333333333,2.6666666666666665,3.266666666666667
1959,Neutral,Neutral,Neutral,49,94,100,168,253,304,339,324,339,0.7,3.6,5.8,11.4,15.5,18,22.6,23.2,20.9,15.1,9.1,3.7,12.5,10.9,21.266666666666666,15.033333333333333,3.266666666666667,2.3333333333333335
1960,Neutral,Neutral,Neutral,63,102,107,178,231,305,330,309,330,0.5,2.8,5,9.1,14.7,18.5,22.8,24.7,20.8,14.1,9.6,3.4,12.2,9.6,22,14.833333333333334,2.3333333333333335,1.5333333333333332
1961,Neutral,Neutral,Neutral,64,101,106,173,240,307,334,306,328,0.3,0.9,4.3,11.2,16.5,19.3,24.4,24,22.3,15.2,9.6,3.7,12.6,10.666666666666666,22.566666666666666,15.700000000000001,1.5333333333333332,2.3666666666666667
1962,Neutral,Neutral,ElNino,NA,104,111,157,246,309,333,299,326,1.6,1.8,4,10.4,15.4,18.3,22.2,25.2,20.9,13.6,8.6,4.3,12.2,9.933333333333334,21.900000000000002,14.366666666666667,2.3666666666666667,2.033333333333333
