年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1953,Neutral,Neutral,LaNina,NA,92,NA,NA,NA,NA,NA,NA,NA,4.4,4.7,9.4,12.4,18.4,22.4,26.2,27.7,23.7,18.2,11.1,8.3,15.6,13.4,25.433333333333334,17.666666666666668,4.550000000000001,6.833333333333333
1954,LaNina,LaNina,LaNina,NA,90,NA,NA,NA,NA,NA,NA,NA,6,6.2,8.2,15,18.4,20.6,24.5,28.1,24.5,16.4,12.8,7.7,15.7,13.866666666666665,24.400000000000002,17.900000000000002,6.833333333333333,6
1955,LaNina,LaNina,LaNina,NA,87,NA,NA,NA,NA,NA,NA,NA,4.1,6.2,9.4,14.4,18.7,23.7,27.9,27.7,24,17.7,10.8,7.9,16,14.166666666666666,26.433333333333334,17.5,6,5.633333333333334
1956,LaNina,LaNina,ElNino,NA,89,NA,NA,NA,NA,NA,NA,NA,4.7,4.3,8.7,13.6,17.7,23,26.8,26.7,23.9,18.2,11.3,5.6,15.4,13.333333333333334,25.5,17.799999999999997,5.633333333333334,5.133333333333333
1957,ElNino,ElNino,ElNino,NA,97,100,NA,NA,NA,NA,NA,NA,5.3,4.5,6.1,14.7,17.4,21.7,25.7,27.8,21.4,17.4,13,8.2,15.3,12.733333333333333,25.066666666666666,17.266666666666666,5.133333333333333,6.466666666666666
1958,ElNino,ElNino,Neutral,NA,86,NA,NA,NA,NA,NA,NA,NA,5.1,6.1,8.5,14.5,18.5,23,27.2,27.5,24.2,17.1,12,8.4,16,13.833333333333334,25.900000000000002,17.766666666666666,6.466666666666666,7
1959,Neutral,Neutral,Neutral,NA,84,93,NA,NA,NA,NA,NA,NA,4.4,8.2,9.7,14.9,19.2,22.8,27.6,28.1,25.4,18.5,13.2,8.3,16.7,14.6,26.166666666666668,19.03333333333333,7,6.733333333333333
1960,Neutral,Neutral,Neutral,NA,87,99,NA,NA,NA,NA,NA,NA,5.1,6.8,9.7,13.4,18.7,22.4,27.5,28.3,24.6,17.9,13.3,7.1,16.2,13.933333333333332,26.066666666666666,18.599999999999998,6.733333333333333,5.233333333333333
1961,Neutral,Neutral,Neutral,70,92,NA,NA,NA,NA,NA,NA,NA,4,4.6,8.9,15,19.7,22.7,28.1,28.5,26.3,20,13.4,8,16.6,14.533333333333331,26.433333333333334,19.9,5.233333333333333,6.166666666666667
1962,Neutral,Neutral,ElNino,NA,94,99,NA,NA,NA,NA,NA,NA,4.5,6,8.3,13.7,18.6,21.6,26.8,28.4,24.7,17.7,12,7.6,15.8,13.533333333333333,25.600000000000005,18.133333333333333,6.166666666666667,4.466666666666666
