年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1953,Neutral,Neutral,LaNina,98,109,117,191,NA,303,316,NA,NA,1.3,1.8,4.3,8.3,14.4,19.1,23.1,22.4,18.9,12.8,5.4,2.9,10.7,9,21.53333333333333,12.366666666666667,1.55,1.7333333333333334
1954,LaNina,LaNina,LaNina,89,103,108,166,NA,288,315,NA,NA,1,1.3,3,10.3,14.4,16.4,20.7,24.6,21.6,12.3,6.9,1.9,11,9.233333333333334,20.566666666666666,13.600000000000001,1.7333333333333334,1.0999999999999999
1955,LaNina,LaNina,LaNina,96,102,105,161,NA,302,313,NA,NA,1,0.4,3.4,10.1,14.6,20.3,25.6,24.8,18.9,13.8,6.6,3.6,11.7,9.366666666666667,23.566666666666666,13.100000000000001,1.0999999999999999,2.1
1956,LaNina,LaNina,ElNino,89,108,111,171,NA,308,319,NA,NA,1,1.7,2.9,9,15.8,19.2,22.3,22.6,19.7,13.7,7,0,10.8,9.233333333333334,21.366666666666664,13.466666666666667,2.1,0.5666666666666668
1957,ElNino,ElNino,ElNino,105,110,117,183,227,305,312,310,318,0.4,1.3,1,9.4,14.7,17.7,22.3,25.1,18.1,13.4,7.5,3,10.9,8.366666666666667,21.7,13,0.5666666666666668,1.5
1958,ElNino,ElNino,Neutral,83,107,113,179,230,308,316,309,322,0.7,0.8,2.9,9.4,14.8,20,23.1,23.1,19.5,12.4,6.5,4,11.3,9.033333333333333,22.066666666666666,12.799999999999999,1.5,2.3000000000000003
1959,Neutral,Neutral,Neutral,78,99,106,174,222,307,318,316,326,0.9,2,4.5,10.9,15.7,18.6,22.8,23.6,20.3,13.4,7.4,2.4,11.7,10.366666666666667,21.666666666666668,13.700000000000001,2.3000000000000003,1.4666666666666668
1960,Neutral,Neutral,Neutral,86,107,114,179,231,306,314,314,323,0.9,1.1,3.5,8.5,15.2,19.2,23,24.7,20,12.4,8.3,2,11.4,9.066666666666666,22.3,13.566666666666668,1.4666666666666668,1.7
1961,Neutral,Neutral,Neutral,93,107,111,173,225,309,319,318,328,1.9,1.2,2.5,10.5,16.6,19.5,25.3,24,21.8,14.1,7.8,2.1,11.8,9.866666666666667,22.933333333333334,14.566666666666665,1.7,0.7666666666666667
1962,Neutral,Neutral,ElNino,93,106,112,178,221,303,309,311,316,0.2,0,2.6,9.7,15.8,18.4,23.8,25.2,20.4,11.6,6.9,2.8,11.4,9.366666666666667,22.46666666666667,12.966666666666667,0.7666666666666667,1.5
1963,ElNino,ElNino,LaNina,91,105,107,179,232,300,309,319,329,1.2,0.5,2.6,10.5,15.8,19.4,23.4,24.2,17.9,12.4,7.5,3.3,11.3,9.633333333333333,22.333333333333332,12.6,1.5,1.5333333333333332
1964,LaNina,LaNina,LaNina,79,104,107,176,220,297,312,310,331,0.5,0.8,3,11.6,16.2,19.1,23.7,25.8,18.2,11.9,6.9,1.9,11.5,10.266666666666666,22.866666666666664,12.333333333333334,1.5333333333333332,0.9333333333333332
1965,LaNina,LaNina,ElNino,98,116,122,187,230,293,307,305,317,0.2,0.7,1.5,6.6,14.8,19.4,21.5,24.6,19.5,11.8,6.6,1.3,10.6,7.633333333333333,21.833333333333332,12.633333333333333,0.9333333333333332,1.1666666666666667
1966,ElNino,ElNino,LaNina,83,105,112,191,232,302,314,312,323,1.1,1.1,3.7,9.6,14.7,18.2,22.3,25.2,19.4,14.4,6.4,0.1,11.2,9.333333333333334,21.900000000000002,13.399999999999999,1.1666666666666667,0.9333333333333335
1967,LaNina,LaNina,LaNina,100,108,114,181,230,303,313,321,329,1.6,1.1,3.5,9.8,16.4,19.6,24.4,24.6,19.2,12.9,6.4,0.6,11.2,9.9,22.866666666666664,12.833333333333334,0.9333333333333335,1.1666666666666667
1968,LaNina,LaNina,ElNino,93,104,111,178,231,291,308,322,331,1,1.9,4.1,10,14.5,19.8,23.4,23.7,19.3,11.6,7.5,3.8,11.2,9.533333333333333,22.3,12.799999999999999,1.1666666666666667,2.0666666666666664
1969,ElNino,ElNino,LaNina,86,110,114,179,230,301,311,311,NA,1.3,1.1,1.2,10,15.5,19.4,22.9,23.9,19.1,11.8,6.7,0.4,10.7,8.9,22.066666666666663,12.533333333333333,2.0666666666666664,0.9666666666666667
1970,LaNina,LaNina,LaNina,100,114,118,194,221,297,315,313,328,2.4,0.1,0.7,8.5,16.9,19.1,23.6,24.3,19.6,12.7,5.9,0.6,10.7,8.7,22.333333333333332,12.733333333333333,0.9666666666666667,0.5333333333333333
1971,LaNina,LaNina,LaNina,95,106,113,187,225,300,312,318,NA,0.5,0.5,2.5,8.9,14.8,19.3,23.8,24.3,17.8,11.7,6.9,1.9,10.9,8.733333333333334,22.46666666666667,12.133333333333333,0.5333333333333333,1
1972,LaNina,LaNina,LaNina,80,102,107,177,215,NA,NA,NA,NA,0.8,0.3,4.3,10.3,15.1,19.5,23.6,24.2,19.5,13.8,7.3,3.1,11.8,9.9,22.433333333333334,13.533333333333331,1,1.7333333333333332
1973,LaNina,LaNina,LaNina,86,106,111,NA,NA,NA,NA,NA,NA,1,1.1,1.7,11.2,14.9,18.2,24.3,26.5,19.6,12.4,6.5,0.7,11.5,9.266666666666666,23,12.833333333333334,1.7333333333333332,0.8333333333333334
1974,LaNina,LaNina,LaNina,101,114,118,NA,230,309,314,312,326,0.9,0.9,1.3,9.4,16,19.3,21.3,24.7,18.8,12.6,4.8,0.2,10.5,8.9,21.766666666666666,12.066666666666665,0.8333333333333334,0.9333333333333332
1975,LaNina,LaNina,LaNina,102,107,112,178,227,306,312,306,320,1.2,1.4,2.6,10.7,15.1,19.3,23.7,25.5,21.4,12.8,7.6,1.5,11.5,9.466666666666667,22.833333333333332,13.933333333333335,0.9333333333333332,0.9
1976,LaNina,LaNina,ElNino,88,108,113,176,235,303,314,319,328,1,0.2,3.2,8.6,15.3,18.9,22.1,21.5,18.4,12.6,5.2,0.8,10.5,9.033333333333333,20.833333333333332,12.066666666666668,0.9,1.9000000000000001
1977,ElNino,ElNino,Neutral,100,105,112,178,239,302,311,321,332,3.7,1.2,3.2,9.1,14.4,19.1,23.9,22.9,20.1,13.2,8.8,2.7,11,8.9,21.96666666666667,14.033333333333331,1.9000000000000001,2
1978,Neutral,Neutral,ElNino,101,113,117,174,241,299,313,315,335,0.7,2.6,2.5,8.9,16,21.2,26.1,25.8,18.4,12.2,6.4,3.4,11.5,9.133333333333333,24.366666666666664,12.333333333333334,2,2.1333333333333333
1979,ElNino,ElNino,ElNino,62,102,110,173,237,312,324,334,347,0.8,2.2,3.4,8.6,14.5,21.7,22.5,24.5,19.5,14.7,8.5,3.7,12.1,8.833333333333334,22.900000000000002,14.233333333333334,2.1333333333333333,2.1333333333333333
1980,ElNino,ElNino,Neutral,99,111,117,180,247,304,320,329,339,0.9,1.8,1.7,8.1,16.1,21.1,21.1,21.3,19.1,12.7,7.6,1.7,10.7,8.633333333333333,21.166666666666668,13.133333333333333,2.1333333333333333,1.4666666666666668
1981,Neutral,Neutral,ElNino,97,111,116,192,NA,303,313,308,332,2,0.7,2.1,9.2,13.6,17.7,24.6,23.6,17.4,12.1,5,2.1,10.4,8.299999999999999,21.96666666666667,11.5,1.4666666666666668,1.3666666666666665
1982,ElNino,ElNino,ElNino,91,106,111,176,NA,298,327,304,329,0.9,1.1,3.4,9.5,16.6,18.6,21.3,24.4,18.7,12.9,7.6,3.7,11.2,9.833333333333334,21.433333333333337,13.066666666666668,1.3666666666666665,1.7666666666666666
1983,ElNino,ElNino,LaNina,89,104,108,188,219,300,316,311,323,0.3,1.3,2.7,12.5,16.1,17.9,21.2,24.9,20.2,12,6,0.8,11.1,10.433333333333334,21.333333333333332,12.733333333333334,1.7666666666666666,2.033333333333333
