年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1953,Neutral,Neutral,LaNina,NA,85,95,NA,254,307,NA,312,NA,3.3,4.2,9.4,12.7,17.8,20.6,24.7,25,22.2,17.2,10.4,7.6,14.6,13.300000000000002,23.433333333333334,16.599999999999998,3.75,5.833333333333333
1954,LaNina,LaNina,LaNina,52,85,91,164,NA,NA,332,317,340,4.3,5.6,8.4,14.9,17.6,18.3,22.3,27,24.6,15.5,11.7,7.1,14.8,13.633333333333335,22.53333333333333,17.266666666666666,5.833333333333333,5.699999999999999
1955,LaNina,LaNina,LaNina,-4,83,95,NA,NA,309,337,313,340,3.8,6.2,8.7,13.6,18.2,22.7,27.6,26.3,22.3,17.6,11,7.9,15.5,13.5,25.53333333333333,16.96666666666667,5.699999999999999,5.466666666666668
1956,LaNina,LaNina,ElNino,-12,85,98,161,NA,NA,318,NA,NA,4.2,4.3,8.6,13.1,17.6,22.3,24.2,25.4,22.7,17.3,11.8,5,14.7,13.1,23.96666666666667,17.266666666666666,5.466666666666668,5
1957,ElNino,ElNino,ElNino,NA,92,100,161,NA,299,336,319,336,5.7,4.3,6.8,14.3,17.1,19.8,24.4,27.3,20.8,17.2,12.9,8,14.9,12.733333333333334,23.833333333333332,16.966666666666665,5,6.333333333333333
1958,ElNino,ElNino,Neutral,25,89,96,158,NA,NA,327,NA,NA,5,6,8.4,13.9,18,22,24.9,25.8,23.2,16,11.1,7.9,15.2,13.433333333333332,24.233333333333334,16.76666666666667,6.333333333333333,6.300000000000001
1959,Neutral,Neutral,Neutral,18,83,95,160,NA,NA,337,NA,NA,3.7,7.3,8.9,15.3,18.5,20.4,26.1,26.7,24.1,17.6,12.3,7,15.7,14.233333333333334,24.400000000000002,18,6.300000000000001,6.2
1960,Neutral,Neutral,Neutral,NA,82,91,NA,NA,NA,NA,NA,NA,5,6.6,9.5,12.8,17.8,21.5,25.8,26.4,23.6,16.8,12.3,6.7,15.4,13.366666666666667,24.566666666666663,17.566666666666666,6.2,4.933333333333334
1961,Neutral,Neutral,Neutral,NA,91,98,NA,NA,NA,NA,NA,NA,3.6,4.5,8.2,14.9,19.8,22.6,27.4,26.8,25.3,18.3,12.7,7.2,15.9,14.300000000000002,25.599999999999998,18.766666666666666,4.933333333333334,5.866666666666667
1962,Neutral,Neutral,ElNino,NA,91,99,NA,NA,NA,NA,NA,NA,4.5,5.9,8.2,14.1,18.4,20.9,25.1,28.1,24.5,16.7,11.3,7,15.4,13.566666666666665,24.7,17.5,5.866666666666667,5
1963,ElNino,ElNino,LaNina,NA,91,96,NA,NA,NA,NA,NA,NA,3.2,4.8,7.6,13.9,18.4,21.8,25.7,26.6,21.4,16.3,12.1,8.1,15,13.299999999999999,24.7,16.6,5,5.8999999999999995
1964,LaNina,LaNina,LaNina,NA,92,95,NA,NA,NA,NA,NA,NA,5.4,4.2,7.6,15.3,18.9,21.5,25.5,27.8,22.3,15.9,11.1,7.5,15.3,13.933333333333332,24.933333333333334,16.433333333333334,5.8999999999999995,5.533333333333334
1965,LaNina,LaNina,ElNino,NA,92,102,NA,NA,331,337,NA,NA,4.4,4.7,6.9,11.1,17.2,21.6,24.2,26.7,22.2,16.9,12.7,7,14.6,11.733333333333334,24.166666666666668,17.266666666666666,5.533333333333334,6.266666666666667
1966,ElNino,ElNino,LaNina,NA,79,95,158,247,325,332,NA,NA,4.6,7.2,9.6,13.6,17.9,20.1,24.4,26.9,23.2,18.9,12.9,6.6,15.5,13.699999999999998,23.8,18.333333333333332,6.266666666666667,5.3
1967,LaNina,LaNina,LaNina,58,89,95,155,248,312,324,NA,NA,4.4,4.9,9.5,14.5,20,23,26.3,28,22.6,16.9,12.1,6.7,15.7,14.666666666666666,25.766666666666666,17.2,5.3,5.566666666666666
