年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
1953,Neutral,Neutral,LaNina,23,87,95,NA,NA,314,NA,NA,NA,5.1,6.4,9.4,12.7,18.1,21.5,26.9,27.9,23.5,18.3,12.3,9.6,16,13.4,25.433333333333334,18.03333333333333,5.75,8.299999999999999
1954,LaNina,LaNina,LaNina,15,87,98,NA,NA,296,333,NA,334,7.8,7.5,8.8,14.5,18.7,20.6,24.8,27.5,23.6,16.7,13.4,8,16,14,24.3,17.9,8.299999999999999,6.7
1955,LaNina,LaNina,LaNina,36,83,95,NA,NA,320,320,306,339,4.7,7.4,10.7,14.7,18.2,23.4,27.3,26.6,23.8,16.7,10.9,8.3,16.1,14.533333333333331,25.76666666666667,17.133333333333333,6.7,6.233333333333333
1956,LaNina,LaNina,ElNino,8,92,99,NA,NA,NA,NA,316,339,5.6,4.8,9.4,13.8,17.1,22.5,27.2,26,23.5,18.1,11,5.7,15.4,13.433333333333335,25.233333333333334,17.533333333333335,6.233333333333333,5.866666666666667
1957,ElNino,ElNino,ElNino,46,91,98,NA,NA,292,326,306,341,7,4.9,7.9,14.3,18.1,21.2,26.2,26.5,20.9,16.8,12.7,8.3,15.4,13.433333333333335,24.633333333333336,16.8,5.866666666666667,7
1958,ElNino,ElNino,Neutral,8,84,95,NA,NA,298,NA,301,342,5.5,7.2,9.6,15,18.2,22.5,27.8,26.5,24,17.5,12.5,9.6,16.3,14.266666666666666,25.599999999999998,18,7,8.033333333333333
1959,Neutral,Neutral,Neutral,15,84,91,NA,NA,NA,NA,314,354,5.1,9.4,10.7,14.4,18.6,22,27,27.8,24.2,18.4,13.6,8.8,16.7,14.566666666666668,25.599999999999998,18.73333333333333,8.033333333333333,7.333333333333333
1960,Neutral,Neutral,Neutral,37,83,90,NA,NA,NA,NA,309,355,5.4,7.8,10.7,13.3,18.5,22.5,27.8,27.9,23.7,17.7,13.3,6.8,16.3,14.166666666666666,26.066666666666663,18.233333333333334,7.333333333333333,5.533333333333334
1961,Neutral,Neutral,Neutral,39,87,NA,NA,NA,NA,NA,285,357,4.4,5.4,10.2,14.4,19,22.8,28.3,28.1,25.4,19.7,13.8,8.2,16.6,14.533333333333333,26.400000000000002,19.63333333333333,5.533333333333334,6.533333333333332
1962,Neutral,Neutral,ElNino,40,96,98,NA,NA,NA,NA,311,352,4.7,6.7,9,13.2,18.1,21.2,26.7,27.1,23.7,17.4,12.2,8.4,15.7,13.433333333333332,25,17.766666666666666,6.533333333333332,4.833333333333333
1963,ElNino,ElNino,LaNina,59,93,97,NA,NA,NA,NA,306,NA,2.6,3.5,8.7,14.3,19.1,22,27,27,22.7,16.6,12.7,8.9,15.4,14.033333333333333,25.333333333333332,17.333333333333332,4.833333333333333,7.133333333333333
1964,LaNina,LaNina,LaNina,25,91,94,NA,NA,NA,NA,NA,NA,7.5,5,9.5,17.4,19.1,21.8,28.5,28.3,24.5,18.3,12.1,7.9,16.7,15.333333333333334,26.2,18.3,7.133333333333333,6.466666666666668
1965,LaNina,LaNina,ElNino,25,89,98,NA,NA,NA,NA,NA,NA,5.2,6.3,7.7,12.5,18,21.2,27.1,27.2,21,16.8,14,7.5,15.4,12.733333333333334,25.166666666666668,17.266666666666666,6.466666666666668,7.033333333333334
1966,ElNino,ElNino,LaNina,30,79,94,NA,279,NA,NA,NA,NA,5.5,8.1,10.8,14.1,18.2,21.9,26.5,29,23,17.9,12.2,6.9,16.2,14.366666666666665,25.8,17.7,7.033333333333334,6.066666666666667
1967,LaNina,LaNina,LaNina,53,87,94,NA,268,288,330,301,336,5.2,6.1,10.1,14.8,19.6,23.2,27.1,28.8,24.1,17.7,13.1,5.5,16.3,14.833333333333334,26.366666666666664,18.3,6.066666666666667,4.766666666666667
1968,LaNina,LaNina,ElNino,NA,90,93,NA,NA,291,326,297,338,5.8,3,9.4,14.2,17.6,21.4,25.2,26.8,23.4,17.1,13,10.6,15.6,13.733333333333334,24.466666666666665,17.833333333333332,4.766666666666667,8.033333333333333
1969,ElNino,ElNino,LaNina,2,94,97,NA,NA,298,329,304,337,6.8,6.7,8.4,14.7,18.8,21.6,26.2,28.2,25.2,17.4,12.4,7.1,16.1,13.966666666666669,25.333333333333332,18.333333333333332,8.033333333333333,6.3999999999999995
1970,LaNina,LaNina,LaNina,37,93,98,NA,263,NA,NA,NA,NA,4.4,7.7,7,13.3,18.7,20.8,26.2,28.1,25.3,19.5,12.9,8.1,16,13,25.03333333333333,19.23333333333333,6.3999999999999995,6.666666666666667
1971,LaNina,LaNina,LaNina,53,90,94,NA,265,301,343,319,346,5.5,6.4,8.9,14.3,18.5,22.8,28.2,26.6,23.2,17.1,13.2,8.5,16.1,13.9,25.866666666666664,17.833333333333332,6.666666666666667,7.733333333333333
1972,LaNina,LaNina,LaNina,20,89,95,NA,261,290,314,316,346,7.9,6.8,9.4,13.8,17.9,21.4,26.1,26.4,22.2,17.4,12.7,8.5,15.9,13.700000000000001,24.633333333333336,17.433333333333334,7.733333333333333,8.033333333333333
1973,LaNina,LaNina,LaNina,25,87,92,NA,250,268,306,293,337,7.7,7.9,10.1,15.8,19,22,27.9,28.5,22.7,17.9,12.1,6.2,16.5,14.966666666666667,26.133333333333336,17.566666666666666,8.033333333333333,5.933333333333334
1974,LaNina,LaNina,LaNina,36,89,94,NA,261,278,322,306,344,5.6,6,9.1,14.9,19.3,21.7,25.1,27,22.8,18.6,12.4,8.3,15.9,14.433333333333332,24.599999999999998,17.933333333333334,5.933333333333334,6.8
1975,LaNina,LaNina,LaNina,32,91,96,NA,266,305,335,304,343,6.1,6,9.6,14.5,18.4,22.3,28.3,28.1,25.6,19.7,13.3,7.8,16.6,14.166666666666666,26.233333333333334,19.53333333333333,6.8,7.166666666666667
